((	V_Occidental	2349	Otros	Industria	2.72	0.00	0.00	2.04	0.51	0.00	0.04	0.13	0.68	1.15	0.43	0.13	p136	p128	p123	))
((	V_Oriental	1252	ERC	Industria	0.88	0.00	0.00	1.92	0.32	0.00	0.00	0.16	1.04	0.48	0.24	0.32	m11	m12	m12	))
((	Baix_Llobregat	8914	CiU	Industria	1.91	0.00	0.02	1.28	0.40	0.94	0.02	0.04	0.63	0.57	1.19	0.17	p129	p128	p124	))
((	V_Oriental	1209	CiU	Servicios	5.21	0.00	0.00	2.73	1.41	2.98	0.08	0.00	1.82	1.82	3.06	0.33	g3	g3	r159	))
((	Baix_Llobregat	55575	PSC	Servicios	1.08	0.00	0.00	0.15	0.04	1.11	0.00	0.00	0.22	0.25	0.82	0.02	p129	p128	p124	))
((	V_Occidental	5509	CiU	Industria	1.20	0.00	0.00	0.82	0.54	1.03	0.02	0.04	0.44	0.20	1.33	0.38	p129	p128	p124	))
((	Alt_Penedes	29273	PSC	Servicios	1.75	0.11	0.22	0.14	0.08	1.70	0.00	0.00	0.04	0.32	1.41	0.14	p133	p128	p124	))
((	V_Oriental	446	Otros	Servicios	0.45	0.00	0.00	0.22	0.22	1.79	0.00	0.00	1.79	0.00	0.22	0.22	g3	g3	r159	))
((	Garraf	51409	CiU	Servicios	1.40	0.00	0.00	0.29	0.25	1.38	0.00	0.05	0.23	0.38	0.89	0.37	p129	p128	p124	))
((	V_Oriental	2224	CiU	Servicios	2.25	0.00	0.00	2.11	0.90	0.00	0.04	0.04	0.63	0.45	0.49	1.35	p136	p128	p123	))
((	Maresme	7417	Otros	Servicios	0.39	0.49	0.00	0.22	0.12	0.20	0.00	0.00	0.05	0.04	0.35	0.09	p129	p128	p124	))
((	Maresme	16572	PSC	Servicios	0.38	0.19	0.00	0.00	0.21	0.15	0.00	0.01	0.01	0.02	0.18	0.14	p129	p128	p124	))
((	Alt_Penedes	874	PSC	Industria	1.03	0.00	0.00	1.26	0.00	0.00	0.00	0.11	0.23	0.80	0.00	0.11	p133	p128	p124	))
